-1.536288619041442871e+00,2.212894916534423828e+00,1.122446894645690918e+00,-5.071521922945976257e-02,-4.615380614995956421e-02,-6.816150546073913574e-01,7.284907102584838867e-01,-7.215009536594152451e-03,3.159621655941009521e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.052833050489425659e-01,1.067189931869506836e+00,-4.248093813657760620e-02,-1.801253408193588257e-01,-1.238427087664604187e-01,3.689255118370056152e-01,3.227030485868453979e-02,-5.152443423867225647e-02,-9.579815864562988281e-01,-3.974931314587593079e-02,-8.826890587806701660e-02,3.323225677013397217e-02,-3.097389042377471924e-01,7.747309282422065735e-03,1.361155658960342407e-01,1.461849510669708252e-01,5.737035349011421204e-02,3.753421604633331299e-01,-2.256691902875900269e-01,-1.019548252224922180e-01,-4.197004735469818115e-01,-1.613396108150482178e-01,1.476889401674270630e-01,2.511477768421173096e-01,-2.323362231254577637e-01,1.020599305629730225e-01
-1.537183403968811035e+00,2.211412668228149414e+00,1.120322704315185547e+00,-5.232470110058784485e-02,-4.931413754820823669e-02,-6.834971308708190918e-01,7.264034152030944824e-01,-2.423528581857681274e-03,3.220256567001342773e-01,0.000000000000000000e+00,0.000000000000000000e+00,-9.816320240497589111e-02,1.430022120475769043e+00,2.368403077125549316e-01,-4.194825291633605957e-01,-5.314822793006896973e-01,1.315900385379791260e-01,3.445508182048797607e-01,-6.920070946216583252e-02,-1.394238114356994629e+00,-2.307041287422180176e-01,-3.802871406078338623e-01,1.953558772802352905e-01,-1.801618188619613647e-01,1.891423761844635010e-01,1.404625326395034790e-01,1.474112868309020996e-01,5.909369513392448425e-02,3.987991511821746826e-01,-2.437956929206848145e-01,-1.038484722375869751e-01,-4.124496281147003174e-01,-1.667894124984741211e-01,1.430014371871948242e-01,2.836613953113555908e-01,-2.542978823184967041e-01,1.035918369889259338e-01
-1.536672830581665039e+00,2.211591720581054688e+00,1.120027661323547363e+00,-5.252234265208244324e-02,-4.921811074018478394e-02,-6.841800212860107422e-01,7.257524728775024414e-01,-3.412103047594428062e-03,3.200630843639373779e-01,0.000000000000000000e+00,0.000000000000000000e+00,-9.715878218412399292e-02,1.430845141410827637e+00,2.466989010572433472e-01,-4.307861924171447754e-01,-5.445932149887084961e-01,1.201581805944442749e-01,3.543074727058410645e-01,-6.994152814149856567e-02,-1.393089413642883301e+00,-2.363563627004623413e-01,-3.879359364509582520e-01,2.060219198465347290e-01,-1.899068802595138550e-01,1.984269469976425171e-01,1.423752456903457642e-01,1.475457847118377686e-01,5.747765302658081055e-02,4.031654596328735352e-01,-2.464312613010406494e-01,-1.035359278321266174e-01,-4.104914367198944092e-01,-1.667677909135818481e-01,1.402025967836380005e-01,2.896259129047393799e-01,-2.571094930171966553e-01,1.041642799973487854e-01
-1.536288499832153320e+00,2.211934566497802734e+00,1.120070815086364746e+00,-5.254892259836196899e-02,-4.910148680210113525e-02,-6.850998401641845703e-01,7.248902320861816406e-01,-3.509174101054668427e-03,3.178523480892181396e-01,0.000000000000000000e+00,0.000000000000000000e+00,-9.893045574426651001e-02,1.433079838752746582e+00,2.461702674627304077e-01,-4.312543570995330811e-01,-5.477905273437500000e-01,1.146105304360389709e-01,3.538361787796020508e-01,-6.858628243207931519e-02,-1.393308520317077637e+00,-2.335767149925231934e-01,-3.872264921665191650e-01,2.049948275089263916e-01,-2.038896232843399048e-01,2.018273472785949707e-01,1.449381113052368164e-01,1.474311500787734985e-01,5.735041573643684387e-02,4.029693305492401123e-01,-2.462680637836456299e-01,-1.030887067317962646e-01,-4.079948961734771729e-01,-1.664879322052001953e-01,1.391742378473281860e-01,2.900955677032470703e-01,-2.565629184246063232e-01,1.044041663408279419e-01
-1.535912156105041504e+00,2.212395191192626953e+00,1.120142817497253418e+00,-5.253286659717559814e-02,-4.903096705675125122e-02,-6.862521171569824219e-01,7.238054275512695312e-01,-2.970535308122634888e-03,3.158072233200073242e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.006117984652519226e-01,1.435535788536071777e+00,2.443394362926483154e-01,-4.303770959377288818e-01,-5.497549772262573242e-01,1.090166196227073669e-01,3.506380617618560791e-01,-6.680388003587722778e-02,-1.393402934074401855e+00,-2.339419275522232056e-01,-3.863933980464935303e-01,1.975892782211303711e-01,-2.154646515846252441e-01,2.054084390401840210e-01,1.481719464063644409e-01,1.471536457538604736e-01,5.723012611269950867e-02,4.024012088775634766e-01,-2.458051145076751709e-01,-1.025727093219757080e-01,-4.048799276351928711e-01,-1.661950945854187012e-01,1.376399397850036621e-01,2.908822298049926758e-01,-2.559514939785003662e-01,1.045551598072052002e-01
-1.535525083541870117e+00,2.212908506393432617e+00,1.120207428932189941e+00,-5.243157595396041870e-02,-4.896334186196327209e-02,-6.874907612800598145e-01,7.226409912109375000e-01,-2.282223664224147797e-03,3.140245676040649414e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.017359644174575806e-01,1.438091039657592773e+00,2.419588565826416016e-01,-4.288018941879272461e-01,-5.522654056549072266e-01,1.036095768213272095e-01,3.458747565746307373e-01,-6.488025188446044922e-02,-1.393600106239318848e+00,-2.377089858055114746e-01,-3.861554861068725586e-01,1.891233325004577637e-01,-2.201167941093444824e-01,2.091096490621566772e-01,1.516797691583633423e-01,1.466761082410812378e-01,5.692046508193016052e-02,4.019501805305480957e-01,-2.453382909297943115e-01,-1.019775792956352234e-01,-4.015351831912994385e-01,-1.659751683473587036e-01,1.355102509260177612e-01,2.923898100852966309e-01,-2.556051015853881836e-01,1.046714037656784058e-01
-1.535164594650268555e+00,2.213415145874023438e+00,1.120253562927246094e+00,-5.228745937347412109e-02,-4.890088737010955811e-02,-6.886599659919738770e-01,7.215415239334106445e-01,-1.904031494632363319e-03,3.127715587615966797e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.020438373088836670e-01,1.440505146980285645e+00,2.396636158227920532e-01,-4.270210564136505127e-01,-5.538920164108276367e-01,1.004138663411140442e-01,3.412054479122161865e-01,-6.281481683254241943e-02,-1.394586205482482910e+00,-2.416533529758453369e-01,-3.855389654636383057e-01,1.840551942586898804e-01,-2.153161764144897461e-01,2.121308296918869019e-01,1.550101935863494873e-01,1.461172401905059814e-01,5.644817650318145752e-02,4.016858339309692383e-01,-2.449284940958023071e-01,-1.013908311724662781e-01,-3.983873426914215088e-01,-1.658120602369308472e-01,1.330687999725341797e-01,2.944336235523223877e-01,-2.555693686008453369e-01,1.047701612114906311e-01
-1.534867644309997559e+00,2.213906764984130859e+00,1.120294928550720215e+00,-5.210080370306968689e-02,-4.883728921413421631e-02,-6.896739006042480469e-01,7.205902934074401855e-01,-1.920026610605418682e-03,3.124219775199890137e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.012310907244682312e-01,1.442329764366149902e+00,2.393645942211151123e-01,-4.260906279087066650e-01,-5.535141229629516602e-01,9.905432909727096558e-02,3.395869135856628418e-01,-6.109923124313354492e-02,-1.395912289619445801e+00,-2.434194684028625488e-01,-3.852876424789428711e-01,1.835555285215377808e-01,-2.122426480054855347e-01,2.128026932477951050e-01,1.579178571701049805e-01,1.455076485872268677e-01,5.584435909986495972e-02,4.014557003974914551e-01,-2.444569915533065796e-01,-1.008563935756683350e-01,-3.956817984580993652e-01,-1.656712889671325684e-01,1.305439472198486328e-01,2.966091036796569824e-01,-2.556725442409515381e-01,1.048187166452407837e-01
-1.534603714942932129e+00,2.214419126510620117e+00,1.120352745056152344e+00,-5.183554440736770630e-02,-4.875171557068824768e-02,-6.905416846275329590e-01,7.197836637496948242e-01,-2.173000015318393707e-03,3.128061294555664062e-01,0.000000000000000000e+00,0.000000000000000000e+00,-9.920189529657363892e-02,1.443513274192810059e+00,2.411155104637145996e-01,-4.257607161998748779e-01,-5.531666874885559082e-01,9.985195100307464600e-02,3.392491936683654785e-01,-6.041523814201354980e-02,-1.396897912025451660e+00,-2.436044812202453613e-01,-3.865976333618164062e-01,1.841657757759094238e-01,-2.130603641271591187e-01,2.119166851043701172e-01,1.604495644569396973e-01,1.447529047727584839e-01,5.500650405883789062e-02,4.011611342430114746e-01,-2.438004612922668457e-01,-1.003071814775466919e-01,-3.934110105037689209e-01,-1.655646115541458130e-01,1.278961002826690674e-01,2.986395359039306641e-01,-2.556583285331726074e-01,1.048292294144630432e-01
-1.534354448318481445e+00,2.214975118637084961e+00,1.120428442955017090e+00,-5.148279666900634766e-02,-4.856476187705993652e-02,-6.912020444869995117e-01,7.191875576972961426e-01,-2.586084883660078049e-03,3.131882548332214355e-01,0.000000000000000000e+00,0.000000000000000000e+00,-9.694413095712661743e-02,1.444605827331542969e+00,2.421540021896362305e-01,-4.251892566680908203e-01,-5.520399212837219238e-01,1.023776307702064514e-01,3.399462997913360596e-01,-6.014896556735038757e-02,-1.397966265678405762e+00,-2.423009723424911499e-01,-3.877587020397186279e-01,1.836066097021102905e-01,-2.139302194118499756e-01,2.107868641614913940e-01,1.624365299940109253e-01,1.439041346311569214e-01,5.360126495361328125e-02,4.010132551193237305e-01,-2.429734617471694946e-01,-9.973756223917007446e-02,-3.917860090732574463e-01,-1.653146445751190186e-01,1.249405667185783386e-01,3.005392551422119141e-01,-2.555045783519744873e-01,1.047715246677398682e-01
