5.930535495281219482e-03,1.617988012731075287e-02,1.005375504493713379e+00,-1.661392860114574432e-02,2.707164501771330833e-03,5.852341651916503906e-01,8.106896281242370605e-01,1.819275021553039551e-01,-2.732117474079132080e-01,5.811840295791625977e-01,4.737512171268463135e-01,9.539754986763000488e-01,1.882994174957275391e-01,0.000000000000000000e+00,-1.248941048979759216e-01,7.899745106697082520e-01,8.726255968213081360e-03,-4.994811713695526123e-01,-1.004985809326171875e+00,3.729841113090515137e-01,-1.179216727614402771e-01,3.430695086717605591e-02,4.722922146320343018e-01,-2.378187142312526703e-02,8.256310969591140747e-02,6.675966382026672363e-01,1.336071968078613281e+00,2.070478349924087524e-01,-2.071968317031860352e-01,-1.456985156983137131e-02,4.795607924461364746e-01,4.673413559794425964e-02,-4.942383617162704468e-02,6.796986460685729980e-01,1.360257029533386230e+00
7.111456245183944702e-03,4.149097949266433716e-03,1.079840064048767090e+00,-4.360029939562082291e-03,-6.832164712250232697e-03,6.105558276176452637e-01,7.919317483901977539e-01,2.388468086719512939e-01,-2.484972178936004639e-01,5.004727244377136230e-01,6.234257221221923828e-01,1.448785305023193359e+00,2.999892830848693848e-01,0.000000000000000000e+00,-5.491025373339653015e-02,1.030824065208435059e+00,-1.703273802995681763e-01,-6.378495097160339355e-01,-1.569902896881103516e+00,3.008210361003875732e-01,-9.220153093338012695e-02,7.263556867837905884e-02,7.005828619003295898e-01,2.297843433916568756e-02,1.192770823836326599e-01,1.170588731765747070e+00,2.341377496719360352e+00,1.642145663499832153e-01,-1.623397022485733032e-01,-4.512141272425651550e-02,7.068271040916442871e-01,9.029902517795562744e-02,-1.239310577511787415e-01,1.192141890525817871e+00,2.384481191635131836e+00
7.027318701148033142e-03,4.523724317550659180e-03,1.083231449127197266e+00,-1.933156861923635006e-03,4.628430586308240891e-03,6.294521689414978027e-01,7.770230770111083984e-01,2.251475304365158081e-01,-1.975195109844207764e-01,3.402965366840362549e-01,7.769776582717895508e-01,1.854552149772644043e+00,3.388570845127105713e-01,0.000000000000000000e+00,1.641599647700786591e-02,1.079659223556518555e+00,-3.711107373237609863e-01,-6.609773635864257812e-01,-1.570000052452087402e+00,2.251018583774566650e-01,-1.028272286057472229e-01,5.238999426364898682e-02,7.141659855842590332e-01,2.743480727076530457e-02,1.398028731346130371e-01,1.221660614013671875e+00,2.443450450897216797e+00,1.459470093250274658e-01,-1.679100692272186279e-01,-7.187189906835556030e-02,7.141659855842590332e-01,8.568944782018661499e-02,-1.535114198923110962e-01,1.221660614013671875e+00,2.443450450897216797e+00
5.948280915617942810e-03,5.124635994434356689e-03,1.083035588264465332e+00,-6.682800594717264175e-03,1.903807930648326874e-02,6.443280577659606934e-01,7.644829750061035156e-01,1.797745078802108765e-01,-1.587519943714141846e-01,2.077698558568954468e-01,9.110519289970397949e-01,2.094091415405273438e+00,3.390178382396697998e-01,0.000000000000000000e+00,3.833170980215072632e-02,1.056690454483032227e+00,-4.642689824104309082e-01,-6.641836166381835938e-01,-1.570000052452087402e+00,1.727588027715682983e-01,-1.351306289434432983e-01,3.406404703855514526e-02,7.141659855842590332e-01,2.991759590804576874e-02,1.459639370441436768e-01,1.221660614013671875e+00,2.443450450897216797e+00,1.309244334697723389e-01,-1.933977603912353516e-01,-9.183700382709503174e-02,7.141659855842590332e-01,8.097229897975921631e-02,-1.654967367649078369e-01,1.221660614013671875e+00,2.443450450897216797e+00
4.847997333854436874e-03,5.604096688330173492e-03,1.082859754562377930e+00,-1.237589959055185318e-02,2.891928330063819885e-02,6.570916771888732910e-01,7.531540989875793457e-01,1.291584223508834839e-01,-1.314504444599151611e-01,1.150051727890968323e-01,1.013918042182922363e+00,2.234860897064208984e+00,3.332765400409698486e-01,0.000000000000000000e+00,3.083015233278274536e-02,1.011542797088623047e+00,-4.989786744117736816e-01,-6.770030856132507324e-01,-1.570000052452087402e+00,1.294229477643966675e-01,-1.635544449090957642e-01,2.607615105807781219e-02,7.141659855842590332e-01,3.323245048522949219e-02,1.484947204589843750e-01,1.221660614013671875e+00,2.443450450897216797e+00,1.167769357562065125e-01,-2.142568230628967285e-01,-1.018951237201690674e-01,7.141659855842590332e-01,7.709845900535583496e-02,-1.725512444972991943e-01,1.221660614013671875e+00,2.443450450897216797e+00
4.078958649188280106e-03,5.953324493020772934e-03,1.082484006881713867e+00,-2.126734703779220581e-02,4.114397987723350525e-02,6.611828804016113281e-01,7.487937211990356445e-01,9.502268582582473755e-02,-1.195287927985191345e-01,5.169172585010528564e-02,1.070878505706787109e+00,2.273956775665283203e+00,3.541558980941772461e-01,0.000000000000000000e+00,3.071495890617370605e-02,9.756416082382202148e-01,-5.291774868965148926e-01,-6.922682523727416992e-01,-1.570000052452087402e+00,1.136225163936614990e-01,-2.002903670072555542e-01,1.838428713381290436e-02,7.141659855842590332e-01,2.684994041919708252e-02,1.510828882455825806e-01,1.221660614013671875e+00,2.443450450897216797e+00,1.228317022323608398e-01,-2.470543235540390015e-01,-1.118520721793174744e-01,7.141659855842590332e-01,6.859371066093444824e-02,-1.744157075881958008e-01,1.221660614013671875e+00,2.443450450897216797e+00
3.527953987941145897e-03,6.214214954525232315e-03,1.082171201705932617e+00,-2.788095362484455109e-02,4.963079094886779785e-02,6.645539999008178711e-01,7.450687289237976074e-01,7.015106827020645142e-02,-1.098641082644462585e-01,2.622053259983658791e-03,1.113759756088256836e+00,2.301958322525024414e+00,3.737635016441345215e-01,0.000000000000000000e+00,3.125756233930587769e-02,9.485727548599243164e-01,-5.571213364601135254e-01,-7.105777263641357422e-01,-1.570000052452087402e+00,9.896505624055862427e-02,-2.266561388969421387e-01,1.482484024018049240e-02,7.141659855842590332e-01,2.217105589807033539e-02,1.527930647134780884e-01,1.221660614013671875e+00,2.443450450897216797e+00,1.288933008909225464e-01,-2.698166668415069580e-01,-1.188104897737503052e-01,7.141659855842590332e-01,6.175144761800765991e-02,-1.769282668828964233e-01,1.221660614013671875e+00,2.443450450897216797e+00
3.057437250390648842e-03,6.230721250176429749e-03,1.082010388374328613e+00,-3.192217275500297546e-02,5.408274009823799133e-02,6.684141159057617188e-01,7.411333322525024414e-01,5.177139118313789368e-02,-1.024379655718803406e-01,-3.396203741431236267e-02,1.146248817443847656e+00,2.326740980148315430e+00,3.880580961704254150e-01,0.000000000000000000e+00,3.034595213830471039e-02,9.265471696853637695e-01,-5.780445337295532227e-01,-7.314126491546630859e-01,-1.570000052452087402e+00,8.280475437641143799e-02,-2.420827299356460571e-01,1.490318868309259415e-02,7.141659855842590332e-01,2.094605565071105957e-02,1.538037359714508057e-01,1.221660614013671875e+00,2.443450450897216797e+00,1.329981982707977295e-01,-2.811979055404663086e-01,-1.224883347749710083e-01,7.141659855842590332e-01,5.810219421982765198e-02,-1.803868114948272705e-01,1.221660614013671875e+00,2.443450450897216797e+00
2.632006769999861717e-03,6.052396260201931000e-03,1.081915020942687988e+00,-3.481790050864219666e-02,5.670845508575439453e-02,6.722336411476135254e-01,7.373424172401428223e-01,3.738435730338096619e-02,-9.654455631971359253e-02,-6.025579199194908142e-02,1.170503497123718262e+00,2.346986293792724609e+00,3.978754580020904541e-01,0.000000000000000000e+00,2.748779207468032837e-02,9.084706306457519531e-01,-5.928763151168823242e-01,-7.526513934135437012e-01,-1.570000052452087402e+00,6.622247397899627686e-02,-2.523776888847351074e-01,1.673422940075397491e-02,7.141659855842590332e-01,2.059403434395790100e-02,1.548668593168258667e-01,1.221660614013671875e+00,2.443450450897216797e+00,1.360207349061965942e-01,-2.879098653793334961e-01,-1.246010735630989075e-01,7.141659855842590332e-01,5.541331693530082703e-02,-1.840613931417465210e-01,1.221660614013671875e+00,2.443450450897216797e+00
2.332228934392333031e-03,6.216908339411020279e-03,1.081917762756347656e+00,-3.712316974997520447e-02,5.839145183563232422e-02,6.758775711059570312e-01,7.337586879730224609e-01,2.574045397341251373e-02,-9.168892353773117065e-02,-7.931272685527801514e-02,1.188606619834899902e+00,2.362872600555419922e+00,4.046302437782287598e-01,0.000000000000000000e+00,2.315939776599407196e-02,8.930352926254272461e-01,-6.031213998794555664e-01,-7.730562686920166016e-01,-1.570000052452087402e+00,4.996619001030921936e-02,-2.599955499172210693e-01,1.946128346025943756e-02,7.141659855842590332e-01,2.041863650083541870e-02,1.561829447746276855e-01,1.221660614013671875e+00,2.443450450897216797e+00,1.382782012224197388e-01,-2.920464873313903809e-01,-1.257708817720413208e-01,7.141659855842590332e-01,5.290777236223220825e-02,-1.876357942819595337e-01,1.221660614013671875e+00,2.443450450897216797e+00
