2.021505832672119141e+00,6.045616149902343750e+00,1.116659760475158691e+00,2.862915280275046825e-04,-9.089857339859008789e-03,-6.927719116210937500e-01,7.210994362831115723e-01,3.125823661684989929e-02,1.252069324254989624e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.209025323390960693e-02,1.671128153800964355e+00,2.855205535888671875e-01,-1.365659236907958984e-01,-3.090529441833496094e-01,-3.492870600894093513e-03,2.283966690301895142e-01,0.000000000000000000e+00,-1.294923424720764160e-01,-1.564878821372985840e+00,-3.304698169231414795e-01,-2.505185008049011230e-01,1.741321682929992676e-01,-2.830102145671844482e-01,2.504164874553680420e-01,5.699775740504264832e-02,9.315302968025207520e-02,-2.119973301887512207e-01,5.045705437660217285e-01,-2.231590449810028076e-01,-1.039346605539321899e-01,-2.576417028903961182e-01,-7.417687028646469116e-02,-2.156810164451599121e-01,5.592860579490661621e-01,-2.940301895141601562e-01,8.418074995279312134e-02
2.021886110305786133e+00,6.045736312866210938e+00,1.115790486335754395e+00,3.228668938390910625e-04,-9.526415728032588959e-03,-6.927058100700378418e-01,7.211572527885437012e-01,3.174066171050071716e-02,1.267688274383544922e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.673471421003341675e-02,1.671773672103881836e+00,2.976469993591308594e-01,-1.416030228137969971e-01,-3.154787421226501465e-01,-9.646948426961898804e-03,2.319035530090332031e-01,0.000000000000000000e+00,-1.453710943460464478e-01,-1.565137147903442383e+00,-3.450677692890167236e-01,-2.628487348556518555e-01,1.868521422147750854e-01,-2.760322391986846924e-01,2.620931267738342285e-01,5.686974525451660156e-02,9.183401614427566528e-02,-2.158315777778625488e-01,5.146396756172180176e-01,-2.289370000362396240e-01,-1.032744720578193665e-01,-2.577242851257324219e-01,-7.585599273443222046e-02,-2.194754928350448608e-01,5.683956742286682129e-01,-2.991727888584136963e-01,8.511053770780563354e-02
2.022069931030273438e+00,6.046033859252929688e+00,1.116156697273254395e+00,5.991647485643625259e-04,-9.719472378492355347e-03,-6.923951506614685059e-01,7.214527726173400879e-01,3.165974095463752747e-02,1.276369690895080566e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.546541839838027954e-02,1.674301624298095703e+00,2.955784201622009277e-01,-1.423014253377914429e-01,-3.172371983528137207e-01,-9.450122714042663574e-03,2.316498011350631714e-01,0.000000000000000000e+00,-1.485200673341751099e-01,-1.566008210182189941e+00,-3.445652723312377930e-01,-2.628957033157348633e-01,1.887736469507217407e-01,-2.742385864257812500e-01,2.619735002517700195e-01,5.610626935958862305e-02,9.057170897722244263e-02,-2.142738848924636841e-01,5.099890232086181641e-01,-2.260682135820388794e-01,-1.026801541447639465e-01,-2.585694193840026855e-01,-7.684636861085891724e-02,-2.185537517070770264e-01,5.647620558738708496e-01,-2.969341576099395752e-01,8.546832203865051270e-02
2.022215604782104492e+00,6.046399116516113281e+00,1.116182684898376465e+00,9.490782977081835270e-04,-9.795776568353176117e-03,-6.920190453529357910e-01,7.218121886253356934e-01,3.131753206253051758e-02,1.280510276556015015e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.393030077219009399e-02,1.676697850227355957e+00,2.938872575759887695e-01,-1.433389484882354736e-01,-3.181879222393035889e-01,-8.039635606110095978e-03,2.317386567592620850e-01,0.000000000000000000e+00,-1.517068892717361450e-01,-1.567885518074035645e+00,-3.444721400737762451e-01,-2.630168795585632324e-01,1.895585954189300537e-01,-2.736953496932983398e-01,2.617304921150207520e-01,5.517309531569480896e-02,8.945237845182418823e-02,-2.150464802980422974e-01,5.093097090721130371e-01,-2.251013219356536865e-01,-1.022057831287384033e-01,-2.596199214458465576e-01,-7.762216031551361084e-02,-2.196724414825439453e-01,5.647141337394714355e-01,-2.964819967746734619e-01,8.569023013114929199e-02
2.022331953048706055e+00,6.046751022338867188e+00,1.116211175918579102e+00,1.294565270654857159e-03,-9.793283417820930481e-03,-6.916477084159851074e-01,7.221674919128417969e-01,3.072683699429035187e-02,1.281805932521820068e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.222045958042144775e-02,1.679071187973022461e+00,2.928471565246582031e-01,-1.444960385560989380e-01,-3.186742663383483887e-01,-5.982093047350645065e-03,2.321737557649612427e-01,0.000000000000000000e+00,-1.545701473951339722e-01,-1.570088863372802734e+00,-3.446112275123596191e-01,-2.631283998489379883e-01,1.902382075786590576e-01,-2.744522094726562500e-01,2.618842422962188721e-01,5.422062054276466370e-02,8.852852880954742432e-02,-2.159802168607711792e-01,5.086742639541625977e-01,-2.241107523441314697e-01,-1.018369272351264954e-01,-2.606801092624664307e-01,-7.816199958324432373e-02,-2.208267897367477417e-01,5.645875930786132812e-01,-2.960346639156341553e-01,8.577688038349151611e-02
2.022446870803833008e+00,6.047058105468750000e+00,1.116257905960083008e+00,1.598450588062405586e-03,-9.748759679496288300e-03,-6.913458108901977539e-01,7.224564552307128906e-01,2.998191118240356445e-02,1.281179785728454590e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.031754404306411743e-02,1.681271433830261230e+00,2.921694517135620117e-01,-1.455965042114257812e-01,-3.187106549739837646e-01,-3.776154480874538422e-03,2.325283288955688477e-01,0.000000000000000000e+00,-1.568039804697036743e-01,-1.572412014007568359e+00,-3.446464538574218750e-01,-2.632100284099578857e-01,1.905380636453628540e-01,-2.758456766605377197e-01,2.623490095138549805e-01,5.345635861158370972e-02,8.777571469545364380e-02,-2.168037593364715576e-01,5.079571604728698730e-01,-2.231321930885314941e-01,-1.015212833881378174e-01,-2.615608572959899902e-01,-7.854279130697250366e-02,-2.217737585306167603e-01,5.642029047012329102e-01,-2.955608963966369629e-01,8.572304248809814453e-02
2.022580862045288086e+00,6.047324180603027344e+00,1.116298794746398926e+00,1.827568863518536091e-03,-9.690661914646625519e-03,-6.911348700523376465e-01,7.226585149765014648e-01,2.918993681669235229e-02,1.279443502426147461e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.840247660875320435e-02,1.683259129524230957e+00,2.909490764141082764e-01,-1.462060213088989258e-01,-3.183337152004241943e-01,-1.253548893146216869e-03,2.324970662593841553e-01,0.000000000000000000e+00,-1.584150046110153198e-01,-1.574610233306884766e+00,-3.445353806018829346e-01,-2.635272145271301270e-01,1.906896382570266724e-01,-2.769687473773956299e-01,2.626855969429016113e-01,5.293091386556625366e-02,8.718616515398025513e-02,-2.175327241420745850e-01,5.074735879898071289e-01,-2.223869413137435913e-01,-1.012393012642860413e-01,-2.621828615665435791e-01,-7.880647480487823486e-02,-2.225272953510284424e-01,5.638147592544555664e-01,-2.951124012470245361e-01,8.554672449827194214e-02
2.022718906402587891e+00,6.047532081604003906e+00,1.116312026977539062e+00,1.970921177417039871e-03,-9.688577614724636078e-03,-6.910336613655090332e-01,7.227549552917480469e-01,2.842960320413112640e-02,1.277559548616409302e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.656699627637863159e-02,1.684862971305847168e+00,2.896879315376281738e-01,-1.462085247039794922e-01,-3.185478150844573975e-01,2.111690817400813103e-03,2.324249148368835449e-01,0.000000000000000000e+00,-1.593358665704727173e-01,-1.576337218284606934e+00,-3.445093929767608643e-01,-2.643269300460815430e-01,1.911200135946273804e-01,-2.775608301162719727e-01,2.628135979175567627e-01,5.270018428564071655e-02,8.663821965456008911e-02,-2.180612981319427490e-01,5.074066519737243652e-01,-2.220490872859954834e-01,-1.010003834962844849e-01,-2.624864876270294189e-01,-7.910022139549255371e-02,-2.230787873268127441e-01,5.637135505676269531e-01,-2.949086129665374756e-01,8.534330874681472778e-02
2.022837400436401367e+00,6.047673702239990234e+00,1.116294503211975098e+00,2.033503958955407143e-03,-9.754089638590812683e-03,-6.910848617553710938e-01,7.227049469947814941e-01,2.800377458333969116e-02,1.276099085807800293e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.488933414220809937e-02,1.685964465141296387e+00,2.892769575119018555e-01,-1.458075493574142456e-01,-3.189495503902435303e-01,6.526490207761526108e-03,2.328372895717620850e-01,0.000000000000000000e+00,-1.597359776496887207e-01,-1.577330470085144043e+00,-3.442446291446685791e-01,-2.653503417968750000e-01,1.919651478528976440e-01,-2.776479423046112061e-01,2.625063359737396240e-01,5.287302657961845398e-02,8.616197109222412109e-02,-2.183302193880081177e-01,5.077170729637145996e-01,-2.221266478300094604e-01,-1.008169949054718018e-01,-2.623292505741119385e-01,-7.943046092987060547e-02,-2.234442830085754395e-01,5.639526247978210449e-01,-2.950055897235870361e-01,8.516380190849304199e-02
2.022907495498657227e+00,6.047728061676025391e+00,1.116267681121826172e+00,1.977794105187058449e-03,-9.897990152239799500e-03,-6.912760734558105469e-01,7.225202918052673340e-01,2.799035422503948212e-02,1.275802999734878540e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.373458355665206909e-02,1.686464667320251465e+00,2.898635566234588623e-01,-1.452638655900955200e-01,-3.187181949615478516e-01,1.048918813467025757e-02,2.333111166954040527e-01,0.000000000000000000e+00,-1.599603891372680664e-01,-1.577654838562011719e+00,-3.434508442878723145e-01,-2.661337256431579590e-01,1.930689662694931030e-01,-2.770839631557464600e-01,2.619694471359252930e-01,5.338825285434722900e-02,8.590897172689437866e-02,-2.180887162685394287e-01,5.081176161766052246e-01,-2.225139290094375610e-01,-1.007118672132492065e-01,-2.617799937725067139e-01,-7.974375039339065552e-02,-2.233734279870986938e-01,5.642902851104736328e-01,-2.953236699104309082e-01,8.501662313938140869e-02
