2.692764392122626305e-03,-9.700401686131954193e-03,1.088199377059936523e+00,-4.528099298477172852e-02,4.865179955959320068e-02,6.989253163337707520e-01,7.120997309684753418e-01,8.432960137724876404e-03,-2.994124405086040497e-02,-2.105063758790493011e-02,-2.443475723266601562e-01,-1.431507151573896408e-02,6.856472492218017578e-01,2.706186473369598389e-01,2.237106710672378540e-01,1.115558743476867676e+00,2.231294631958007812e+00,-1.377857923507690430e-01,-3.237095177173614502e-01,2.051973715424537659e-02,6.926180124282836914e-01,3.224856853485107422e-01,-1.369607150554656982e-01,1.136806845664978027e+00,2.273774862289428711e+00
2.699606586247682571e-03,-9.267808869481086731e-03,1.095944643020629883e+00,-5.569703504443168640e-02,6.045291200280189514e-02,6.977047324180603027e-01,7.116540074348449707e-01,1.019122544676065445e-02,-2.865962125360965729e-02,-2.378029376268386841e-02,-2.788372039794921875e-01,-1.093261875212192535e-02,7.132271528244018555e-01,2.368084043264389038e-01,2.227162718772888184e-01,1.212616086006164551e+00,2.425388097763061523e+00,-1.324449479579925537e-01,-3.584357500076293945e-01,2.045387215912342072e-02,7.136012315750122070e-01,2.773288488388061523e-01,-1.367547065019607544e-01,1.216942667961120605e+00,2.434017658233642578e+00
2.980133751407265663e-03,-9.424136951565742493e-03,1.096499800682067871e+00,-4.528206959366798401e-02,5.186754837632179260e-02,6.990910172462463379e-01,7.117099761962890625e-01,1.335371378809213638e-02,-2.492918074131011963e-02,-1.982158422470092773e-02,-2.467916011810302734e-01,-1.541468128561973572e-02,7.141656279563903809e-01,2.240292578935623169e-01,2.174040824174880981e-01,1.221658587455749512e+00,2.443446397781372070e+00,-1.353022903203964233e-01,-3.271664083003997803e-01,1.374586671590805054e-02,7.141659855842590332e-01,2.605872750282287598e-01,-1.342578381299972534e-01,1.221660494804382324e+00,2.443450212478637695e+00
3.133523277938365936e-03,-9.014169685542583466e-03,1.096434593200683594e+00,-4.246797040104866028e-02,4.992371052503585815e-02,6.993868350982666016e-01,7.117317914962768555e-01,1.432877779006958008e-02,-2.174401469528675079e-02,-1.611373759806156158e-02,-2.387412339448928833e-01,-1.742631569504737854e-02,7.141659855842590332e-01,2.141595184803009033e-01,2.121039628982543945e-01,1.221660375595092773e+00,2.443449974060058594e+00,-1.371246427297592163e-01,-3.199124932289123535e-01,1.215200964361429214e-02,7.141659855842590332e-01,2.512423694133758545e-01,-1.326092779636383057e-01,1.221660614013671875e+00,2.443450450897216797e+00
3.273359499871730804e-03,-8.367668837308883667e-03,1.096419453620910645e+00,-4.159149155020713806e-02,4.941098392009735107e-02,6.994198560714721680e-01,7.117869257926940918e-01,1.476356666535139084e-02,-1.978146098554134369e-02,-1.209323946386575699e-02,-2.362271547317504883e-01,-1.871470734477043152e-02,7.141659855842590332e-01,2.089976370334625244e-01,2.078819125890731812e-01,1.221660494804382324e+00,2.443450212478637695e+00,-1.387031674385070801e-01,-3.181389868259429932e-01,1.215574517846107483e-02,7.141659855842590332e-01,2.467953115701675415e-01,-1.310658156871795654e-01,1.221660614013671875e+00,2.443450450897216797e+00
3.279499243944883347e-03,-7.680893409997224808e-03,1.096438765525817871e+00,-4.129212722182273865e-02,4.928568750619888306e-02,6.993091702461242676e-01,7.119217514991760254e-01,1.546581555157899857e-02,-1.865608058869838715e-02,-8.099931292235851288e-03,-2.352827787399291992e-01,-1.965234801173210144e-02,7.141659855842590332e-01,2.059151083230972290e-01,2.044025659561157227e-01,1.221660494804382324e+00,2.443450212478637695e+00,-1.400212198495864868e-01,-3.178110718727111816e-01,1.260622870177030563e-02,7.141659855842590332e-01,2.438782155513763428e-01,-1.295256167650222778e-01,1.221660614013671875e+00,2.443450450897216797e+00
3.269589273259043694e-03,-7.052025292068719864e-03,1.096414923667907715e+00,-4.121738672256469727e-02,4.933611676096916199e-02,6.991724371910095215e-01,7.120568752288818359e-01,1.650794222950935364e-02,-1.810318045318126678e-02,-4.107043612748384476e-03,-2.351300716400146484e-01,-2.043739706277847290e-02,7.141659855842590332e-01,2.037732154130935669e-01,2.009436041116714478e-01,1.221660494804382324e+00,2.443450212478637695e+00,-1.412544846534729004e-01,-3.180705308914184570e-01,1.315318048000335693e-02,7.141659855842590332e-01,2.416543364524841309e-01,-1.281362175941467285e-01,1.221660614013671875e+00,2.443450450897216797e+00
3.351066727191209793e-03,-6.566961761564016342e-03,1.096375584602355957e+00,-4.143093898892402649e-02,4.941115528345108032e-02,6.991165876388549805e-01,7.120940685272216797e-01,1.738350838422775269e-02,-1.802326738834381104e-02,-2.984049788210541010e-04,-2.356287688016891479e-01,-2.233979478478431702e-02,7.141659855842590332e-01,2.015864849090576172e-01,1.960652917623519897e-01,1.221660494804382324e+00,2.443450212478637695e+00,-1.425125002861022949e-01,-3.186157047748565674e-01,1.420301105827093124e-02,7.141659855842590332e-01,2.403258830308914185e-01,-1.266283243894577026e-01,1.221660614013671875e+00,2.443450450897216797e+00
3.350429004058241844e-03,-6.376363337039947510e-03,1.096333265304565430e+00,-4.180993512272834778e-02,4.970967024564743042e-02,6.990607976913452148e-01,7.121059894561767578e-01,1.828495040535926819e-02,-1.822764612734317780e-02,3.244222607463598251e-03,-2.369084060192108154e-01,-2.300768531858921051e-02,7.141659855842590332e-01,1.994953155517578125e-01,1.918645054101943970e-01,1.221660494804382324e+00,2.443450212478637695e+00,-1.435948014259338379e-01,-3.188142478466033936e-01,1.415722537785768509e-02,7.141659855842590332e-01,2.388271689414978027e-01,-1.256801933050155640e-01,1.221660614013671875e+00,2.443450450897216797e+00
3.283986588940024376e-03,-6.139682605862617493e-03,1.096319317817687988e+00,-4.217518866062164307e-02,5.012493580579757690e-02,6.992186903953552246e-01,7.119002342224121094e-01,1.922750845551490784e-02,-1.879034936428070068e-02,6.009008269757032394e-03,-2.383684366941452026e-01,-2.381433360278606415e-02,7.141659855842590332e-01,1.972456574440002441e-01,1.878175139427185059e-01,1.221660494804382324e+00,2.443450212478637695e+00,-1.446257233619689941e-01,-3.200627565383911133e-01,1.449654903262853622e-02,7.141659855842590332e-01,2.376947999000549316e-01,-1.246688738465309143e-01,1.221660614013671875e+00,2.443450450897216797e+00
3.182963933795690536e-03,-6.095768418163061142e-03,1.096274495124816895e+00,-4.265731200575828552e-02,5.060419440269470215e-02,6.995288729667663574e-01,7.115328311920166016e-01,2.011875063180923462e-02,-1.957389153540134430e-02,8.331525139510631561e-03,-2.403490394353866577e-01,-2.454445883631706238e-02,7.141659855842590332e-01,1.952838450670242310e-01,1.841337978839874268e-01,1.221660494804382324e+00,2.443450212478637695e+00,-1.459782868623733521e-01,-3.217629790306091309e-01,1.494892966002225876e-02,7.141659855842590332e-01,2.370372861623764038e-01,-1.241163313388824463e-01,1.221660614013671875e+00,2.443450450897216797e+00
3.018253017216920853e-03,-6.162593606859445572e-03,1.096239686012268066e+00,-4.322893545031547546e-02,5.113335326313972473e-02,6.999776959419250488e-01,7.110189199447631836e-01,2.095163427293300629e-02,-2.046550065279006958e-02,1.025965716689825058e-02,-2.426824569702148438e-01,-2.531289309263229370e-02,7.141659855842590332e-01,1.935870498418807983e-01,1.810076087713241577e-01,1.221660494804382324e+00,2.443450212478637695e+00,-1.475924104452133179e-01,-3.236802220344543457e-01,1.545113418251276016e-02,7.141659855842590332e-01,2.367900311946868896e-01,-1.234205216169357300e-01,1.221660614013671875e+00,2.443450450897216797e+00
2.796089509502053261e-03,-6.252238526940345764e-03,1.096215009689331055e+00,-4.384435713291168213e-02,5.173679813742637634e-02,7.004525661468505859e-01,7.104696631431579590e-01,2.181220799684524536e-02,-2.167565003037452698e-02,1.161729358136653900e-02,-2.452072054147720337e-01,-2.615179680287837982e-02,7.141659855842590332e-01,1.921143680810928345e-01,1.783249229192733765e-01,1.221660614013671875e+00,2.443450450897216797e+00,-1.499117910861968994e-01,-3.257173001766204834e-01,1.597326062619686127e-02,7.141659855842590332e-01,2.366385608911514282e-01,-1.227022558450698853e-01,1.221660614013671875e+00,2.443450450897216797e+00
2.521896036341786385e-03,-6.299592554569244385e-03,1.096224665641784668e+00,-4.442971572279930115e-02,5.236816033720970154e-02,7.008206844329833984e-01,7.100238800048828125e-01,2.264672704041004181e-02,-2.287326194345951080e-02,1.238171011209487915e-02,-2.476504296064376831e-01,-2.697128057479858398e-02,7.141659855842590332e-01,1.907200366258621216e-01,1.758023053407669067e-01,1.221660614013671875e+00,2.443450450897216797e+00,-1.527375280857086182e-01,-3.277557194232940674e-01,1.651393808424472809e-02,7.141659855842590332e-01,2.363592088222503662e-01,-1.222790554165840149e-01,1.221660614013671875e+00,2.443450450897216797e+00
