4.833273962140083313e-02,6.550885736942291260e-03,1.041037559509277344e+00,-2.048426494002342224e-02,7.181714754551649094e-03,6.018907427787780762e-01,7.982833981513977051e-01,1.042432039976119995e-01,-1.842315793037414551e-01,5.826020240783691406e-01,4.921563863754272461e-01,8.969193696975708008e-01,2.257081493735313416e-02,-4.292255043983459473e-01,6.717277765274047852e-01,-8.597283363342285156e-01,3.108429722487926483e-03,3.456204831600189209e-01,-2.508825808763504028e-02,9.129503741860389709e-03,5.092504024505615234e-01,8.545675128698348999e-02,1.183095648884773254e-01,7.308945059776306152e-01,1.462501168251037598e+00,2.357623130083084106e-01,-9.096060693264007568e-02,2.177293971180915833e-02,5.113786458969116211e-01,1.192488074302673340e-01,-6.002724543213844299e-02,7.346249818801879883e-01,1.469943404197692871e+00
4.708708822727203369e-02,4.714434500783681870e-03,1.112345457077026367e+00,-7.308968808501958847e-03,-8.316916413605213165e-03,6.188197135925292969e-01,7.854549884796142578e-01,1.294062584638595581e-01,-1.200759261846542358e-01,3.383714556694030762e-01,8.289694786071777344e-01,1.332855105400085449e+00,1.598639935255050659e-01,-1.754638999700546265e-01,1.065852165222167969e+00,-1.322716712951660156e+00,7.672851532697677612e-02,2.783049046993255615e-01,2.171789482235908508e-02,5.087728053331375122e-02,7.141479849815368652e-01,1.062057465314865112e-01,1.571803539991378784e-01,1.221476912498474121e+00,2.443088293075561523e+00,2.144674807786941528e-01,-3.017095103859901428e-02,2.107800217345356941e-03,7.141518592834472656e-01,1.099128425121307373e-01,-1.197271496057510376e-01,1.221521258354187012e+00,2.443175077438354492e+00
4.632008448243141174e-02,3.088398836553096771e-03,1.113438844680786133e+00,-9.482920169830322266e-03,-1.198200858198106289e-03,6.256314516067504883e-01,7.800601720809936523e-01,1.271207034587860107e-01,-8.990685641765594482e-02,2.266450375318527222e-01,9.425070881843566895e-01,1.624183297157287598e+00,2.710142731666564941e-01,-9.472849220037460327e-02,1.152336239814758301e+00,-1.599151968955993652e+00,1.428467780351638794e-01,2.499238997697830200e-01,5.940962117165327072e-03,3.976957127451896667e-02,7.141659855842590332e-01,1.036312133073806763e-01,1.693189442157745361e-01,1.221660614013671875e+00,2.443450450897216797e+00,2.011182308197021484e-01,-4.458977282047271729e-02,-8.235837332904338837e-03,7.141659855842590332e-01,1.021767705678939819e-01,-1.324888914823532104e-01,1.221660614013671875e+00,2.443450450897216797e+00
4.558806866407394409e-02,2.634411910548806190e-03,1.113810658454895020e+00,-1.283327676355838776e-02,7.035848218947649002e-03,6.293396353721618652e-01,7.769925594329833984e-01,1.143293008208274841e-01,-8.085392415523529053e-02,1.653183549642562866e-01,9.992548823356628418e-01,1.806176424026489258e+00,3.400375843048095703e-01,-6.523739546537399292e-02,1.166717767715454102e+00,-1.752582669258117676e+00,1.821360886096954346e-01,2.347714155912399292e-01,-1.320754922926425934e-02,2.807559072971343994e-02,7.141659855842590332e-01,9.968508034944534302e-02,1.734283119440078735e-01,1.221660614013671875e+00,2.443450450897216797e+00,1.880397796630859375e-01,-6.352070719003677368e-02,-1.859148591756820679e-02,7.141659855842590332e-01,9.644377976655960083e-02,-1.361875087022781372e-01,1.221660614013671875e+00,2.443450450897216797e+00
4.521594569087028503e-02,2.094941679388284683e-03,1.114127278327941895e+00,-1.430540345609188080e-02,1.134172268211841583e-02,6.333378553390502930e-01,7.736600637435913086e-01,1.055166497826576233e-01,-6.824869662523269653e-02,1.156655475497245789e-01,1.045648574829101562e+00,1.963177680969238281e+00,4.095206260681152344e-01,-4.883372038602828979e-02,1.173572778701782227e+00,-1.877834796905517578e+00,2.234736084938049316e-01,2.222486287355422974e-01,-2.340324223041534424e-02,2.197600156068801880e-02,7.141659855842590332e-01,1.010333597660064697e-01,1.756090819835662842e-01,1.221660614013671875e+00,2.443450450897216797e+00,1.769417077302932739e-01,-7.268699258565902710e-02,-2.370966225862503052e-02,7.141659855842590332e-01,9.587166458368301392e-02,-1.383849680423736572e-01,1.221660614013671875e+00,2.443450450897216797e+00
4.493012279272079468e-02,1.450238865800201893e-03,1.114331007003784180e+00,-1.524256356060504913e-02,1.410659495741128922e-02,6.371669769287109375e-01,7.704459428787231445e-01,9.768207371234893799e-02,-5.711762234568595886e-02,7.908380776643753052e-02,1.079728841781616211e+00,2.090421915054321289e+00,4.769303798675537109e-01,-4.058396443724632263e-02,1.175663828849792480e+00,-1.974114418029785156e+00,2.661097049713134766e-01,2.108348160982131958e-01,-3.058504872024059296e-02,1.819852180778980255e-02,7.141659855842590332e-01,1.038717404007911682e-01,1.765245795249938965e-01,1.221660614013671875e+00,2.443450450897216797e+00,1.667063683271408081e-01,-7.862513512372970581e-02,-2.678699046373367310e-02,7.141659855842590332e-01,9.649984538555145264e-02,-1.398921459913253784e-01,1.221660614013671875e+00,2.443450450897216797e+00
4.460218176245689392e-02,8.855068008415400982e-04,1.114241242408752441e+00,-1.811442710459232330e-02,1.987285725772380829e-02,6.399108171463012695e-01,7.679785490036010742e-01,8.726699650287628174e-02,-5.937470868229866028e-02,4.878379404544830322e-02,1.103995203971862793e+00,2.176529645919799805e+00,5.162512660026550293e-01,-2.720737457275390625e-02,1.171338200569152832e+00,-2.028001785278320312e+00,2.904682457447052002e-01,2.025203257799148560e-01,-4.620551690459251404e-02,1.162609085440635681e-02,7.141659855842590332e-01,1.002111658453941345e-01,1.765221655368804932e-01,1.221660614013671875e+00,2.443450450897216797e+00,1.551914215087890625e-01,-9.349440783262252808e-02,-3.265712782740592957e-02,7.141659855842590332e-01,9.177695214748382568e-02,-1.407388746738433838e-01,1.221660614013671875e+00,2.443450450897216797e+00
4.423700645565986633e-02,3.115000727120786905e-04,1.114261150360107422e+00,-2.006103657186031342e-02,2.292198874056339264e-02,6.419497132301330566e-01,7.661414146423339844e-01,8.247664570808410645e-02,-5.347009375691413879e-02,2.331244945526123047e-02,1.123330950736999512e+00,2.249066829681396484e+00,5.534365177154541016e-01,-1.800241880118846893e-02,1.169241070747375488e+00,-2.070702075958251953e+00,3.147256374359130859e-01,1.959344595670700073e-01,-5.547682195901870728e-02,8.722697384655475616e-03,7.141659855842590332e-01,1.004018262028694153e-01,1.760211437940597534e-01,1.221660614013671875e+00,2.443450450897216797e+00,1.475304365158081055e-01,-1.023025214672088623e-01,-3.465348854660987854e-02,7.141659855842590332e-01,9.116752445697784424e-02,-1.411064714193344116e-01,1.221660614013671875e+00,2.443450450897216797e+00
4.388176649808883667e-02,-2.334128366783261299e-04,1.114303350448608398e+00,-2.139037474989891052e-02,2.476921118795871735e-02,6.440010070800781250e-01,7.643243074417114258e-01,7.877455651760101318e-02,-4.726077243685722351e-02,4.755116533488035202e-03,1.137115478515625000e+00,2.306510210037231445e+00,5.886554121971130371e-01,-1.272470504045486450e-02,1.168143033981323242e+00,-2.103086948394775391e+00,3.389267325401306152e-01,1.898167282342910767e-01,-6.180372089147567749e-02,7.108385208994150162e-03,7.141659855842590332e-01,1.019665002822875977e-01,1.753154247999191284e-01,1.221660614013671875e+00,2.443450450897216797e+00,1.414755135774612427e-01,-1.078055500984191895e-01,-3.560207039117813110e-02,7.141659855842590332e-01,9.199790656566619873e-02,-1.413315087556838989e-01,1.221660614013671875e+00,2.443450450897216797e+00
4.357809200882911682e-02,-5.613598041236400604e-04,1.114343404769897461e+00,-2.250913530588150024e-02,2.610912173986434937e-02,6.458527445793151855e-01,7.626833319664001465e-01,7.580095529556274414e-02,-4.150313511490821838e-02,-8.188507519662380219e-03,1.146140575408935547e+00,2.351209640502929688e+00,6.221854686737060547e-01,-9.939807467162609100e-03,1.166920185089111328e+00,-2.127580165863037109e+00,3.631350100040435791e-01,1.839416623115539551e-01,-6.669234484434127808e-02,6.154346279799938202e-03,7.141659855842590332e-01,1.038522496819496155e-01,1.746325343847274780e-01,1.221660614013671875e+00,2.443450450897216797e+00,1.362721621990203857e-01,-1.119155287742614746e-01,-3.596867993474006653e-02,7.141659855842590332e-01,9.310517460107803345e-02,-1.415850818157196045e-01,1.221660614013671875e+00,2.443450450897216797e+00
