-0.0196229946,0.0270728283,-0.2305561751,-0.2621057034,1.5993658304,0.0667455196,0.2949424386,-0.2578365803,-1.5552390814,0.0254471302,0.0834456384,-0.1098190397,-0.0152244577,0.6184528470,0.0126809161,-0.0000042154,0.9469535351,1.8940746784,-0.2107614577,-0.0867377222,0.0352300592,0.6136108041,-0.0283018779,-0.0147350533,0.9362781048,1.8727316856,-0.1445892826,-0.2440248057,-0.3830359876,0.2942356467,0.6326544285,0.1749875396,0.4158693552,-0.0365746021,-0.3370857239,0.0099790469,0.0358754396,-0.3136747330,0.0952234771,0.9001404047,-0.2666145586,0.1487699866,2.2176468372,4.4345355034,0.3009080887,-0.3568140417,-0.0069878250,0.9001779556,-0.0573150627,-0.1939677726,2.1786403656,4.3563580513
-0.0244426373,0.0189386681,-0.2433240414,-0.2522978485,1.6204543114,0.0725784376,0.3088047504,-0.2590557337,-1.5664752722,0.0257797651,0.0846414864,-0.1202748641,-0.0120503418,0.6484575272,0.0037937642,0.0049547842,1.0208750963,2.0418925285,-0.2007311881,-0.0986315235,0.0349971317,0.6436167359,-0.0302123800,-0.0212006457,1.0088994503,2.0179436207,-0.1044841111,-0.1947064837,-0.3155419976,0.1741580665,0.4790407419,0.1216658950,0.3175225854,0.0021417439,-0.2695190907,0.0085871201,0.0787673146,-0.2551386505,0.0666114176,0.6454727054,-0.1327972510,0.1036260099,1.6295975447,3.2587087154,0.2300532907,-0.2885594219,0.0108467415,0.6457498670,0.0023359247,-0.1209955802,1.5992367268,3.1978726387
-0.0265886020,0.0140923960,-0.2515923083,-0.2504951656,1.6313018799,0.0748565793,0.3161106110,-0.2576937973,-1.5732070208,0.0260196049,0.0886967927,-0.1268282831,-0.0107836965,0.6614843607,0.0038277660,0.0069041853,1.0555933714,2.1113219261,-0.1954245716,-0.1059750170,0.0359531753,0.6566607952,-0.0281461496,-0.0228014253,1.0428938866,2.0859231949,-0.0504344702,-0.1201984053,-0.1764737070,0.0103658438,0.2392029762,0.0409362093,0.1744325459,0.0020089746,-0.1553285122,-0.0088857953,0.1041973382,-0.1625672355,0.0235200813,0.2827343345,0.0115075463,0.0372992386,0.7606977224,1.5212416649,0.1256158948,-0.1818791404,0.0244911946,0.2829641104,0.0555287395,-0.0289949868,0.7440072298,1.4878213406
-0.0278049354,0.0109254410,-0.2550889552,-0.2516067922,1.6364011765,0.0753075182,0.3204335868,-0.2589218020,-1.5768305063,0.0251873787,0.0915879756,-0.1311126798,-0.0104823364,0.6673064828,0.0045609339,0.0074414001,1.0715882778,2.1433086395,-0.1923567951,-0.1107567996,0.0366298780,0.6624810100,-0.0265104640,-0.0231336448,1.0584999323,2.1171317101,-0.0294069853,-0.0761536835,-0.0709511340,-0.0481532514,0.1067930460,-0.0001512095,0.1019355655,-0.0567005575,-0.0865083933,-0.0363898929,0.0703537837,-0.1040752977,0.0028975122,0.1279038191,0.0196302915,0.0089487853,0.3530734777,0.7060790062,0.0731896609,-0.1163404807,0.0146398321,0.1278412342,0.0398662873,-0.0060892291,0.3443330526,0.6885874271
-0.0285490677,0.0090154838,-0.2563223839,-0.2537053823,1.6384214163,0.0748464987,0.3229063153,-0.2614738345,-1.5789742470,0.0235936120,0.0933870450,-0.1337666363,-0.0105905291,0.6700112820,0.0051364521,0.0075007710,1.0791316032,2.1583938599,-0.1905452609,-0.1137310490,0.0369291641,0.6651835442,-0.0254883971,-0.0232073739,1.0658494234,2.1318290234,-0.0176006835,-0.0444517471,-0.0218416750,-0.0673453510,0.0377100706,-0.0188611820,0.0560326874,-0.0818672776,-0.0504112244,-0.0515670609,0.0432823598,-0.0644532591,-0.0059049530,0.0599992275,0.0145338848,-0.0009834557,0.1677417755,0.3354513645,0.0426594168,-0.0722454116,0.0051530264,0.0600349903,0.0237505138,-0.0005715340,0.1636415720,0.3272509575
-0.0289783143,0.0079619912,-0.2565450668,-0.2560964823,1.6389151812,0.0740501061,0.3241690993,-0.2643796206,-1.5801912546,0.0217495747,0.0944734663,-0.1354095638,-0.0108759999,0.6713064313,0.0055298596,0.0073758364,1.0827710629,2.1656720638,-0.1895128340,-0.1155731604,0.0369734131,0.6664833426,-0.0249270964,-0.0231717471,1.0694093704,2.1389484406,-0.0088014174,-0.0237616547,0.0079527497,-0.0754679739,0.0066339970,-0.0264475867,0.0261349976,-0.0830125809,-0.0278037786,-0.0500571728,0.0258011743,-0.0398748368,-0.0096725766,0.0288811326,0.0099799200,-0.0049341749,0.0812584162,0.1625025272,0.0234391540,-0.0448199362,-0.0009027869,0.0291234255,0.0136593450,0.0025261100,0.0798600912,0.1597058773
-0.0291358288,0.0074313735,-0.2557922006,-0.2587365806,1.6388636827,0.0730833262,0.3246486485,-0.2670080066,-1.5808278322,0.0202564672,0.0951071233,-0.1364249587,-0.0112353675,0.6719366908,0.0058017801,0.0071718260,1.0845488310,2.1692273617,-0.1889826506,-0.1167190447,0.0368689783,0.6671251059,-0.0245777741,-0.0230389666,1.0711734295,2.1424760818,-0.0019874051,-0.0113656162,0.0277711451,-0.0791059434,-0.0030380487,-0.0335419178,0.0087001920,-0.0683055818,-0.0132447481,-0.0325754564,0.0150742382,-0.0227643549,-0.0112581812,0.0139787793,0.0068001752,-0.0059011183,0.0394570827,0.0789070129,0.0115062296,-0.0262952596,-0.0045084022,0.0143694878,0.0087484997,0.0049831532,0.0395232439,0.0790393353
-0.0291108079,0.0072042835,-0.2546936572,-0.2613702118,1.6387126446,0.0718139783,0.3247491121,-0.2689333260,-1.5810742378,0.0195778776,0.0954784155,-0.1369271874,-0.0116265453,0.6722383499,0.0059832046,0.0069824285,1.0854015350,2.1709325314,-0.1887457520,-0.1173261777,0.0366728529,0.6674413085,-0.0243438631,-0.0228395369,1.0720442533,2.1442177296,0.0017614849,-0.0050151930,0.0232967734,-0.0741988420,-0.0076764822,-0.0442714244,-0.0032517314,-0.0445398688,-0.0067931414,-0.0070265774,0.0096967444,-0.0088425726,-0.0112746377,0.0065419078,0.0041384180,-0.0047257100,0.0184983015,0.0369930267,0.0058141351,-0.0122366846,-0.0066887587,0.0069326162,0.0056245644,0.0065457355,0.0190973282,0.0381946564
-0.0290183965,0.0070970273,-0.2542390823,-0.2636831701,1.6383519173,0.0701318979,0.3244318664,-0.2699773312,-1.5812807083,0.0197880287,0.0957535729,-0.1370144635,-0.0119870100,0.6723728180,0.0060776747,0.0068567786,1.0857820511,2.1716935635,-0.1885950416,-0.1175348237,0.0364230610,0.6675872803,-0.0242028031,-0.0226025842,1.0724465847,2.1450223923,0.0025183149,-0.0019260147,-0.0007769465,-0.0565597415,-0.0154691935,-0.0487652421,-0.0162211061,-0.0202265382,-0.0102835894,0.0109813828,0.0089898705,0.0031869113,-0.0089948578,0.0027921796,0.0011082832,-0.0026869518,0.0079035759,0.0158071518,0.0057490915,-0.0010870770,-0.0078009255,0.0030112267,0.0026428699,0.0071376655,0.0083041191,0.0166046619
-0.0289429203,0.0070758825,-0.2547454536,-0.2651408613,1.6376813650,0.0685629621,0.3236677051,-0.2702817619,-1.5817598104,0.0203099698,0.0960777402,-0.1367147267,-0.0122262025,0.6724244952,0.0060570901,0.0068032984,1.0859284401,2.1719863415,-0.1883624792,-0.1173986495,0.0361527912,0.6676420569,-0.0241676718,-0.0223636925,1.0725978613,2.1453247070,0.0018728245,-0.0020289584,-0.0177767873,-0.0317859650,-0.0164580345,-0.0402406231,-0.0201585889,-0.0016289949,-0.0180315971,0.0073265098,0.0106185302,0.0132624060,-0.0048257690,0.0009816885,-0.0020322623,-0.0005314057,0.0027841330,0.0055646896,0.0083112717,0.0081921369,-0.0074664876,0.0008994341,-0.0003640261,0.0061568711,0.0024855137,0.0049674511
